Item Name,Item Cost,Max Raw Stone Cost,Upfront Cost,Profit Margin
Vidro do Negócio,400,54.0,303.33,10.0%
Pinças do Dragão+,10000,54.0,7583.33,10.0%
Orison,800,23.14,521.67,10.0%
Livro Negro+,100,18.0,61.67,10.0%
Pedaço de Pedra (x20),100,18.0,61.67,10.0%
Aditivo Grande,300,18.0,185.0,10.0%
Cabeça Encolhida,45,14.4,26.33,10.0%
Snack de Proteína,90,14.4,52.67,10.0%
Pedra do Ritual,2200,13.68,1271.67,10.0%
Chama do Dragão,350,13.5,201.67,10.0%
Snack do Poder (7 dias),600,12.86,341.67,10.0%
Orison Pequena,80,10.8,43.67,10.0%
Aditivo Médio,150,9.0,78.33,10.0%
Espiral do Tempo (20%),200,6.0,95.0,10.0%
Espiral do Tempo (10%),100,0.0,33.33,10.0%
Caixa de Transporte,250,0.0,83.33,10.0%
Passagem Forte Vermelho,40,-0.72,12.39,10.0%
Passagem Torre Nemere,40,-0.72,12.39,10.0%
Pedra do Ferreiro,55,-1.03,16.44,10.0%
Feitiço para Pets,330,-1.03,98.67,10.0%
Sementes Mágicas,100,-1.38,28.61,10.0%
Feijão do Dragão Verde,30,-1.8,8.11,10.0%
Pedra Lunar,1100,-2.16,281.67,10.0%
Chave Torcida (x3),45,-4.11,7.44,10.0%
Metal Mágico,25,-4.5,3.61,10.0%
Areia de Quartzo,65,-5.24,6.56,10.0%
Pedra de Sangue,7,-5.4,0.63,10.0%
Ágata,700,-5.4,63.33,10.0%
Feijão do Dragão Azul,45,-5.85,2.72,10.0%
Feijão do Dragão Rosa,60,-7.2,-2.67,10.0%
Cristal Azul,55,-7.2,-2.44,10.0%
Pedra Mágica,190,-7.74,-17.89,10.0%
Cristal de Água,45,-9.16,-11.44,10.0%
Feitiço para Itens (P) (x5),150,-9.24,-39.72,10.0%
Feitiço para Itens (M) (x20),30,-11.52,-20.22,10.0%
Faixa de Lorde (Básica),25,-13.09,-29.44,10.0%
Cinzas do Demónio,15,-14.76,-33.72,10.0%
Maixa de Mestre (Básica),10,-15.84,-38.22,10.0%
